slug;name;website;ror_id;comment
activinsights-ltd;Activinsights Ltd;https://www.activinsights.com;;company
agh-university-of-science-and-technology;AGH University of Science and Technology;;https://ror.org/00bas1c41;
alfred-wegener-institute;Alfred Wegener Institute;https://www.awi.de/en.html;https://ror.org/032e6b942;
amsterdam-university-medical-centers-location-vu;"Amsterdam University Medical Centers, location VU";;https://ror.org/00q6h8f30;
astron;ASTRON;http://www.astron.nl/;https://ror.org/000k1q888;
atacama-large-millimetersubmillimeter-array;Atacama Large Millimeter/Submillimeter Array;;https://ror.org/01adx8c71;
averis-seeds;Averis Seeds;;https://ror.org/011v4dm73;
barcelona-supercomputing-center;Barcelona Supercomputing Center;https://www.bsc.es/;https://ror.org/05sd8tv96;
basf;BASF;;https://ror.org/00sgajx84;
bejo;Bejo;;https://ror.org/046v1a544;
blue-action;Blue Action;https://blue-action.eu/;;project
bmw-group;BMW Group;;https://ror.org/044kkbh92;
cbs-knaw-fungal-biodiversity-centre;CBS-KNAW Fungal Biodiversity Centre;http://www.cbs.knaw.nl/;https://ror.org/030a5r161;
centre-national-de-recherches-meteorologiques;Centre National de Recherches Météorologiques;http://www.umr-cnrm.fr/?lang=fr;https://ror.org/004rej139;
cicero-center-for-international-climate-research;CICERO Center for International Climate Research;;https://ror.org/01gw5dy53;
city-university-of-london;City University of London;;https://ror.org/04489at23;
clariah;CLARIAH;https://www.clariah.nl;;project
clarin;CLARIN;https://www.clarin.eu/;;project
clearpeaks;ClearPeaks;https://www.clearpeaks.com;;company
cmcc;CMCC;https://www.cmcc.it/;https://ror.org/01tf11a61;
cmmc-cultivated-meat-modeling-consortium;CMMC - Cultivated Meat Modeling Consortium;https://thecmmc.org;;project
cnr-isac;CNR-ISAC;https://www.isac.cnr.it;https://ror.org/00n8ttd98;
cnrs;CNRS;;https://ror.org/02feahw73;
commit;COMMIT;http://www.commit-nl.nl/;https://ror.org/031m0hs53;
common-workflow-language;Common Workflow Language;https://www.commonwl.org;;project
cwi;CWI;http://www.cwi.nl/;https://ror.org/00x7ekv49;
data-archiving-and-networked-services-dans;Data Archiving and Networked Services (DANS);http://www.dans.knaw.nl;https://ror.org/008pnp284;
delft-university-of-technology;Delft University of Technology;http://tudelft.nl;https://ror.org/02e2c7k09;
deltares;Deltares;http://www.deltares.nl;https://ror.org/01deh9c76;
deutsches-zentrum-fur-luft-und-raumfahrt;Deutsches Zentrum für Luft- und Raumfahrt;;https://ror.org/04bwf3e34;
differ;DIFFER;https://www.differ.nl/;https://ror.org/03w5dn804;
dkrz;DKRZ;;https://ror.org/03ztgj037;
dlr;DLR;https://www.dlr.de;https://ror.org/04bwf3e34;
dnv-gl; DNV GL;https://www.dnv.com/;https://ror.org/004r4ve77;
donders-institute;Donders Institute;https://www.ru.nl/donders/;;part of radboud UMC?
drexel-university;Drexel University;http://drexel.edu;https://ror.org/04bdffz58;
dutch-techcenter-for-life-sciences;Dutch Techcenter for Life Sciences;http://www.dtls.nl;https://ror.org/055d8gs64;
dutch-techcentre-for-life-sciences;Dutch Techcentre for Life Sciences;;https://ror.org/055d8gs64;
ec-earth;EC-Earth;https://github.com/EC-Earth;;project
ecmwf;ECMWF;https://www.ecmwf.int/;https://ror.org/014w0fd65;
eindhoven-university-of-technology;Eindhoven University of Technology;https://www.tue.nl/en/;https://ror.org/02c2kyt77;
eneco;Eneco;https://www.eneco.nl/;;company
erasmus-mc;Erasmus MC;;https://ror.org/018906e22;
erasmus-university-medical-center;Erasmus University Medical Center;https://www.erasmusmc.nl/;https://ror.org/018906e22;
erasmus-university-rotterdam;Erasmus University Rotterdam;;https://ror.org/057w15z03;
esiwace;ESiWACE;https://www.esiwace.eu/;;project
eth-zurich;ETH Zurich;https://ethz.ch;https://ror.org/05a28rw58;
eu-horizon-2020;EU Horizon 2020;;https://ror.org/019w4f821;
european-network-for-cyber-security;European Network for Cyber Security;https://encs.eu/;https://ror.org/0584wbt59;
fields-of-view;Fields of View;https://fieldsofview.in/;;company
fom;FOM;http://www.fom.nl;;"no longer exists, now NWO"
fraunhofer;Fraunhofer;;https://ror.org/05hkkdn48;
fugro;Fugro;http://www.fugro.nl/;https://ror.org/054hq4w78;
geodan;Geodan;http://www.geodan.com;;company
ghent-university;Ghent University;https://www.ugent.be/en;https://ror.org/00cv9y106;
helmholz-zentrum-hereon;Helmholz-Zentrum Hereon;https://hereon.de;https://ror.org/03qjp1d79;
hesso-university-of-applied-sciences-and-arts;HES.SO University of Applied Sciences and Arts;;https://ror.org/01xkakk17;
humboldt-universitat-zu-berlin;Humboldt-Universität zu Berlin;https://www.hu-berlin.de/en;https://ror.org/01hcx6992;
huygens-ing;Huygens ING;https://www.huygens.knaw.nl/;https://ror.org/04x6kq749;
ibm;IBM;;https://ror.org/055yb9v95;has many institutes with own ROR
iknl;IKNL;https://iknl.nl/;https://ror.org/03g5hcd33;
imbb-forth;IMBB-FORTH;https://www.imbb.forth.gr/en/;https://ror.org/01gzszr18;
imperial-college-london;Imperial College London;http://www.imperial.ac.uk;https://ror.org/041kmwe10;
inmark;INMARK;;https://ror.org/01kkw3w51;
inserm;Inserm;https://www.inserm.fr;https://ror.org/02vjkv261;
institute-of-geomatics-boku;"Institute of Geomatics, BOKU";https://www.boku.ac.at/en/rali/geomatics;https://ror.org/057ff4y42;
institut-national-de-linformation-geographique-et-forestiere;Institut national de l’information géographique et forestière;http://www.ign.fr/;https://ror.org/05jxfge78;
istituto-italiano-di-tecnologia;Istituto Italiano di Tecnologia;https://www.iit.it/;https://ror.org/042t93s57;
jhu;JHU;https://www.jhu.edu;https://ror.org/00za53h95;
jive;JIVE;;https://ror.org/006dmc180;
knaw-humanities-cluster;KNAW Humanities Cluster;https://beta.huc.knaw.nl/;;project
knmi;KNMI;;https://ror.org/05dfgh554;
koninklijke-bibliotheek;Koninklijke Bibliotheek;http://www.kb.nl;https://ror.org/02w4jbg70;
koninklijk-nederlands-instituut-in-rome;Koninklijk Nederlands Instituut in Rome;http://www.knir.it/;https://ror.org/05v6zeb66;
koninklijk-nederlands-meteorologisch-instituut;Koninklijk Nederlands Meteorologisch Instituut;http://www.knmi.nl/;https://ror.org/05dfgh554;
kws;KWS;http://www.kws.com;https://ror.org/02p9c1e58;
leiden-observatory;Leiden Observatory;https://www.universiteitleiden.nl/en/science/astronomy;;department
leiden-university;Leiden University;https://www.universiteitleiden.nl/en/;https://ror.org/027bh9e22;
leiden-university-medical-center;Leiden University Medical Center;https://www.lumc.nl/;https://ror.org/05xvt9f17;
lifewatch-eric;LifeWatch ERIC;https://www.lifewatch.eu/;;project
ludwig-maximilians-universitat-munchen;Ludwig-Maximilians-Universität München;;https://ror.org/05591te55;
ludwig-maximilian-university-of-munich;Ludwig Maximilian University of Munich;https://www.en.uni-muenchen.de/index.html;https://ror.org/05591te55;
lufthansa-systems;Lufthansa Systems;https://www.lhsystems.com/;;company
maastricht-university;Maastricht University;https://www.maastrichtuniversity.nl;https://ror.org/02jz4aj89;
maastricht-university-medical-center;Maastricht University Medical Center+;;https://ror.org/02d9ce178;
maastro;Maastro;;https://ror.org/059wkzj26;
maritime-research-institute-netherlands;Maritime Research Institute Netherlands;;https://ror.org/01fkbmk11;
massachusetts-university-of-technology;Massachusetts University of Technology;;https://ror.org/042nb2s44;
max-planck-institute-for-brain-research;Max Planck Institute for Brain Research;https://brain.mpg.de/home;https://ror.org/02h1nk258;
max-planck-institute-of-animal-behavior;Max Planck Institute of Animal Behavior;https://www.mpg.de/987894/verhaltensbiologie;https://ror.org/026stee22;
meertens-institute;Meertens Institute;http://www.meertens.knaw.nl;https://ror.org/05kaxyq51;
meijer;Meijer;https://www.meijerpotato.com/nl/;;company
met-office;Met Office;https://www.metoffice.gov.uk;https://ror.org/01ch2yn61;
ministry-of-infrastructure-and-water-management;Ministry of Infrastructure and Water Management;;ttps://ror.org/056a6x975;
monetdb;monetdb;https://www.monetdb.org/;;project
monetdb-solutions;MonetDB Solutions;http://monetdbsolutions.com/;;company
mrc-epidemiology-unit;MRC Epidemiology Unit;http://www.mrc-epid.cam.ac.uk/;https://ror.org/052578691;
nansen-environmental-and-remote-sensing-center;Nansen Environmental and Remote Sensing Center;;https://ror.org/015th0q50;
nanyang-technical-university;Nanyang Technical University;http://www.ntu.edu.sg;https://ror.org/02e7b5302;
national-institute-for-astrophysics;National Institute for Astrophysics;;https://ror.org/02gh4kt33;
national-institute-for-subatomic-physics;National Institute for Subatomic Physics;;https://ror.org/00f9tz983;
national-institute-of-chemistry;National Institute of Chemistry;;https://ror.org/050mac570;
nederlands-forensisch-instituut;Nederlands Forensisch Instituut;http://www.nederlandsforensischinstituut.nl/;https://ror.org/04s2z4291;
netherlands-cancer-institute-nki;Netherlands Cancer Institute (NKI);https://www.nki.nl/;https://ror.org/03xqtf034;
netherlands-escience-center;Netherlands eScience Center;http://www.esciencecenter.nl/;https://ror.org/00rbjv475;
netherlands-institute-for-radio-astronomy;Netherlands Institute for Radio Astronomy;;https://ror.org/000k1q888;
netherlands-metabolomics-centre;Netherlands Metabolomics Centre;;https://ror.org/00zh5wn98;
netherlands-metabolomics-institute;Netherlands Metabolomics Institute;http://www.metabolomicscentre.nl;https://ror.org/00zh5wn98;
nikhef;NIKHEF;http://www.nikhef.nl/;https://ror.org/00f9tz983;
nizo;NIZO;;https://ror.org/05ddg7v64;
nunhems;Nunhems;https://www.nunhems.com/nl/nl.html;;company
odissei;ODISSEI;https://odissei-data.nl/en/;https://ror.org/03m8v6t10;
openda;OpenDA;http://www.openda.org/;;association
open-universiteit;Open Universiteit;;https://ror.org/018dfmf50;
oracle;Oracle;https://www.oracle.com/database/index.html;https://ror.org/018dfmf50;
philips;Philips;;https://ror.org/02p2bgp27;
phortos;Phortos;https://www.phortosconsultants.com/;;company
plymouth-marine-laboratory;Plymouth Marine Laboratory;https://www.plymouth.ac.uk/research/institutes/marine-institute;https://ror.org/05av9mn02;
politecnico-milano;Politecnico Milano;;https://ror.org/01nffqt88;
potree;Potree;http://potree.org;;project
process;PROCESS;https://www.process-project.eu/;;project
radboud-university;Radboud University;;https://ror.org/016xsfp80;
radboud-university-medical-center;Radboud University Medical Center;;https://ror.org/05wg1m734;
radboud-university-nijmegen;Radboud University Nijmegen;http://www.ru.nl/;https://ror.org/016xsfp80;
rijkswaterstaat;Rijkswaterstaat;http://www.rijkswaterstaat.nl/;;governmental
rijk-zwaan;Rijk Zwaan;https://www.rijkzwaan.nl/;https://ror.org/00dzkep57;
royal-haskoningdhv;Royal HaskoningDHV;;https://ror.org/020v32r42;
royal-netherlands-academy-of-arts-and-sciences;Royal Netherlands Academy of Arts and Sciences;;https://ror.org/043c0p156;
royal-netherlands-institute-for-sea-research;Royal Netherlands Institute for Sea Research;;https://ror.org/01gntjh03;
royal-netherlands-institute-in-rome;Royal Netherlands Institute in Rome;;https://ror.org/05v6zeb66;
royal-netherlands-meteorological-institute;Royal Netherlands Meteorological Institute;;https://ror.org/05dfgh554;
sesvanderhave;SESVanderHave;https://www.sesvanderhave.com/nl/;;company
siemens;Siemens;https://www.siemens.com/;https://ror.org/02mt4w922;
singapore-mit-alliance-for-research-and-technology;Singapore-MIT Alliance for Research and Technology;;https://ror.org/05yb3w112;
software-for-chemicals-materials;Software for Chemicals & Materials;;https://ror.org/025tsch51;
sorbonne-universite;Sorbonne Université;https://www.sorbonne-universite.fr/;https://ror.org/02en5vm52;
spinlab;SPINlab;https://spinlab.vu.nl;;department of VU
surf;SURF;https://www.surf.nl/;https://ror.org/009vhk114;
surfnet;SURFnet;https://www.surf.nl/ict-voorzieningen/netwerkinfrastructuur;;"no longer exists, now SURF"
surfsara;SURFsara;https://www.surf.nl/en/about-surf/subsidiaries/surfsara/;https://ror.org/01k0v6g02;
swedish-meteorological-and-hydrological-institute;Swedish Meteorological and Hydrological Institute;https://www.smhi.se/en;https://ror.org/00hgzve81;
tata-memorial-centre;Tata Memorial Centre;;https://ror.org/010842375;
tata-steel;TATA Steel;;https://ror.org/00925cq50;
technische-universitat-braunschweig;Technische Universität Braunschweig;;https://ror.org/010nsgg66;
tennet-tso;TenneT TSO;https://www.tennet.eu/;https://ror.org/02dyts510;
the-abdus-salam-international-centre-for-theoretical-physics;The Abdus Salam International Centre for Theoretical Physics;https://www.ictp.it/;https://ror.org/009gyvm78;
thehyve;thehyve;http://thehyve.nl;https://ror.org/00p3egw50;
tilburg-university;Tilburg University;;https://ror.org/04b8v1s79;
tno;TNO;http://www.tno.nl/;https://ror.org/01bnjb948;
uk-research-and-innovation;UK Research and Innovation;;https://ror.org/001aqnf71;
unilever;Unilever;;https://ror.org/02436cs38;
universitat-politecnica-de-valencia;Universitat Politècnica de València;http://www.upv.es;https://ror.org/01460j859;
university-college-london;University College London;https://www.ucl.ac.uk;https://ror.org/02jx3x895;
university-medical-center-groningen;University Medical Center Groningen;;https://ror.org/03cv38k47;
university-medical-center-utrecht;University Medical Center Utrecht;https://www.umcutrecht.nl/;https://ror.org/0575yy874;
university-of-amsterdam;University of Amsterdam;http://www.uva.nl;https://ror.org/04dkp9463;
university-of-bremen;University of Bremen;https://www.uni-bremen.de;https://ror.org/04ers2y35;
university-of-edinburgh;University of Edinburgh;https://www.ed.ac.uk/;https://ror.org/01nrxwf90;
university-of-exeter;University of Exeter;;https://ror.org/03yghzc09;
university-of-glasgow;University of Glasgow;http://www.dcs.gla.ac.uk;https://ror.org/00vtgdb53;
university-of-granada;University of Granada;https://www.ugr.es;https://ror.org/04njjy449;
university-of-groningen;University of Groningen;http://www.rug.nl/;https://ror.org/012p63287;
university-of-iceland;University of Iceland;;https://ror.org/01db6h964;
university-of-leicester;University of Leicester;https://le.ac.uk;https://ror.org/04h699437;
university-of-reading;University of Reading;http://www.reading.ac.uk/;https://ror.org/05v62cm79;
university-of-southampton;University of Southampton;http://www.southampton.ac.uk/;https://ror.org/01ryk1543;
university-of-twente;University of Twente;https://www.utwente.nl/;https://ror.org/006hf6230;
ustav-informatiky;Ustav Informatiky;;https://ror.org/04jgqpc26;
utrecht-university;Utrecht University;http://www.uu.nl;https://ror.org/04pp8hn57;
virginia-tech;Virginia Tech;;https://ror.org/02smfhw86;
vortech;VORtech;https://www.vortech.nl/en/;https://ror.org/00fxhtz28;
vrije-universiteit-amsterdam;Vrije Universiteit Amsterdam;;https://ror.org/008xxew50;
vu-university-amsterdam;VU University Amsterdam;http://www.vu.nl/;https://ror.org/008xxew50;
wageningen-university-and-research;Wageningen University and Research;;https://ror.org/04qw24q55;
wageningen-university-research;Wageningen University & Research;https://www.wur.nl/;https://ror.org/04qw24q55;
waternet;Waternet;https://www.waternet.nl/;;company
westerdijk-fungal-biodiversity-institute;Westerdijk Fungal Biodiversity Institute;http://www.westerdijkinstitute.nl;https://ror.org/030a5r161;
zefiros-software;Zefiros Software;https://zefiros.eu/;;company
